animal,groupo,foto,Area_rel_Il1b_adentro,Area_rel_Il1b_afuera,Intensidad_rel_Il1b_adentro,Intensidad_rel_Il1b_afuera
Ctl_112,C,Fotos/Ctl_112\1.tif,0.06724320508295094,0.015174862002379606,0.3552770914225203,0.07645945893229827
Ctl_112,C,Fotos/Ctl_112\2.tif,0.017654571407106905,0.0038467228880011838,0.09195402298850575,0.024105789981174526
Ctl_112,C,Fotos/Ctl_112\3.tif,0.015144372421921038,0.001684367356894699,0.13358868591632292,0.008725088833072932
Ctl_112,C,Fotos/Ctl_112\4.tif,0.008543283061633685,0.0006552586388696411,0.045941940545724,0.003276293194348206
Ctl_253,C,Fotos/Ctl_253\1.tif,0.03282517028867986,0.003564886484886238,0.04346415828738242,0.009670833924397269
Ctl_253,C,Fotos/Ctl_253\5.tif,0.007499089916272297,0.0005921617407452828,0.1369493993447397,0.0046006412165595055
Ctl_253,C,Fotos/Ctl_253\6.tif,0.02843490521698261,0.002628120893561104,0.318110606297979,0.01817647586944279
Ctl_253,C,Fotos/Ctl_253\7.tif,0.09501497810891774,0.030956200428112382,0.5316076503571703,0.15905715945944604
Ctl_323,C,Fotos/Ctl_323\1.tif,0.04682087384065259,0.008403764886669227,0.301095094423958,0.050150467409399414
Ctl_323,C,Fotos/Ctl_323\2.tif,0.01878529445660943,0.001864194882341192,0.10810187852944567,0.009764830336072911
Ctl_323,C,Fotos/Ctl_323\3.tif,0.02219493336971847,0.003629135385203099,0.13426115431846092,0.019055388828996826
Ctl_323,C,Fotos/Ctl_323\4.tif,0.0037711683506475024,0.0007670189867317763,0.01956738295147289,0.0068108073376811126
SM_134,SM,Fotos/SM_134\1.tif,0.056940918819371855,0.014101026780156343,0.47210193619033397,0.027900637560365107
SM_134,SM,Fotos/SM_134\2.tif,0.01720773461060848,0.005586509248171643,0.0887883626042221,0.028051302859065583
SM_134,SM,Fotos/SM_134\3.tif,0.046729776247848534,0.019208015447816293,0.3874354561101549,0.16020720140847736
SM_134,SM,Fotos/SM_134\4.tif,0.0275,0.0052692788491095766,0.2907236842105263,0.029284587167243886
SM_134,SM,Fotos/SM_134\5.tif,0.018336314847942754,0.003072630479809651,0.09883720930232558,0.015440182132525376
SM_134,SM,Fotos/SM_134\6.tif,0.01579778830963665,0.003056415361403618,0.07898894154818326,0.015499836680095191
SM_226,SM,Fotos/SM_226\1.tif,0.058704861811579585,0.028121535711861722,0.305830139197095,0.14448391062042337
SM_226,SM,Fotos/SM_226\2.tif,0.14429530201342283,0.0528582084491761,1.2339841366687003,0.2670712687326236
SM_226,SM,Fotos/SM_226\3.tif,0.08871892925430211,0.020279924411190833,0.6730401529636711,0.10291293459724378
SM_226,SM,Fotos/SM_226\4.tif,0.07810794420861128,0.04010512995230215,0.3226197695573075,0.16367937903918672
SM_226,SM,Fotos/SM_226\5.tif,0.2465924721770664,0.08604693601956276,0.7312742278354383,0.12921639475893282
SM_226,SM,Fotos/SM_226\6.tif,0.08432100528344995,0.040348217857218045,0.36655718977581037,0.16761054618693727
SM_226,SM,Fotos/SM_226\7.tif,0.18006230529595016,0.03748085313455615,0.26866043613707163,0.06065063398934964
SM_226,SM,Fotos/SM_226\8.tif,0.0397834274952919,0.01989317636799651,0.211864406779661,0.10067173533900152
SM_314,SM,Fotos/SM_314\1.tif,0.06724320508295094,0.015174862002379606,0.3552770914225203,0.07645945893229827
SM_314,SM,Fotos/SM_314\10.tif,0.055305202785743544,0.012683003827788959,0.3258227502389731,0.06526972100548518
SM_314,SM,Fotos/SM_314\11.tif,0.0770688179929104,0.02918450111923873,0.42898178706759565,0.14869484588223172
SM_314,SM,Fotos/SM_314\2.tif,0.07151671527933588,0.032647825005563486,0.3710455463316132,0.16555615190271106
SM_314,SM,Fotos/SM_314\3.tif,0.06553532008830022,0.02440277421012073,0.34009381898454744,0.12326611867454405
SM_314,SM,Fotos/SM_314\4.tif,0.04740160904544466,0.011691157027915235,0.2663622526636225,0.059060174517432854
SM_314,SM,Fotos/SM_314\5.tif,0.05147693902228364,0.018112608118710228,0.26360338573155984,0.09155100103638987
SM_314,SM,Fotos/SM_314\6.tif,0.07386297545655461,0.02374135576796018,0.41921600558334304,0.12229220807822755
SM_314,SM,Fotos/SM_314\7.tif,0.09501497810891774,0.030956200428112382,0.5316076503571703,0.15905715945944604
SM_314,SM,Fotos/SM_314\8.tif,0.049310086640282386,0.019263328958909885,0.25617713124398334,0.10064800397097921
SM_314,SM,Fotos/SM_314\9.tif,0.06774109014675052,0.01701322038249262,0.382730607966457,0.08797972018996278
